Standard Deviation of c72: CPU = 25.570571347547165 | MEM = 97.19855653875896
Standard Deviation of c73: CPU = 10.40072072823161 | MEM = 102.23925812157117
Standard Deviation of c74: CPU = 13.90079705931633 | MEM = 102.38787842464225
Standard Deviation of c75: CPU = 19.32204993679501 | MEM = 99.83987943173463
Standard Deviation of c76: CPU = 14.516124846375343 | MEM = 100.61032520164245
Standard Deviation of c77: CPU = 4.953814037760205 | MEM = 98.00216766047116
Standard Deviation of c78: CPU = 15.528788465357307 | MEM = 96.83283700494955
Standard Deviation of c79: CPU = 12.662803165176342 | MEM = 100.46517428097935
Standard Deviation of c80: CPU = 12.376025034708125 | MEM = 100.71421061060505
Standard Deviation of c82: CPU = 26.833578215264374 | MEM = 99.40462514960653
Standard Deviation of c81: CPU = 12.527430643133432 | MEM = 101.18439707902053
Standard Deviation of c83: CPU = 12.68153522004296 | MEM = 100.49250154783127
Standard Deviation of c84: CPU = 8.575522205464129 | MEM = 102.3386772156716
Standard Deviation of c85: CPU = 25.19833085118835 | MEM = 99.5182733676929
Standard Deviation of c86: CPU = 20.93071968496574 | MEM = 100.73580060188648
Standard Deviation of c88: CPU = 32.192323297487256 | MEM = 100.6622036053944
Standard Deviation of c87: CPU = 27.05080722635894 | MEM = 100.18067242093302
Standard Deviation of c89: CPU = 24.575397473896533 | MEM = 98.7666800346575
Standard Deviation of c90: CPU = 23.021041956219097 | MEM = 100.14785535785632
Standard Deviation of c91: CPU = 7.890267268095768 | MEM = 97.01054377647439
Standard Deviation of c92: CPU = 11.76988671442174 | MEM = 98.63391305369147
Standard Deviation of c93: CPU = 5.584537183648753 | MEM = 99.78715516294957
Standard Deviation of c94: CPU = 15.912838477228593 | MEM = 97.51592014505664
Standard Deviation of c95: CPU = 17.10136775097482 | MEM = 101.89836698274412
Standard Deviation of c96: CPU = 12.8339137054914 | MEM = 102.03741396614998
Standard Deviation of c97: CPU = 8.41721538729009 | MEM = 101.29313232180237
Standard Deviation of c98: CPU = 12.492827961378072 | MEM = 101.31889707953519
Standard Deviation of c99: CPU = 16.98800995073195 | MEM = 100.40841180505527
Standard Deviation of c101: CPU = 23.170589630359547 | MEM = 100.2577057732943
Standard Deviation of c100: CPU = 11.503296652885968 | MEM = 101.6474183447718
Standard Deviation of c102: CPU = 7.069915710934766 | MEM = 101.39632016868265
Standard Deviation of c103: CPU = 24.24552782000906 | MEM = 100.26741840573138
Standard Deviation of c104: CPU = 26.166591920806194 | MEM = 101.09545168295931
Standard Deviation of c105: CPU = 28.650413655765995 | MEM = 98.97224110436574
Standard Deviation of c107: CPU = 40.377012537990666 | MEM = 99.07947296547954
Standard Deviation of c106: CPU = 29.975855295225063 | MEM = 103.11556917741218
Standard Deviation of c108: CPU = 14.886893259719303 | MEM = 97.90924509462832
Standard Deviation of c109: CPU = 10.919728023784362 | MEM = 98.74205509178954
